Iteration,x,y,Utility
1,0,0,27.21025840012019
1,1,0,27.80829487850075
1,2,0,-24.688112459607364
1,3,0,-29.037236762662705
1,4,0,-26.213222229965044
1,5,0,-25.38147196226173
1,6,0,-17.010796148177043
1,7,0,-17.3823574308399
1,8,0,-17.57209083069393
1,9,0,-17.392678954958114
1,0,1,25.588539051641703
1,1,1,25.31050988410409
1,2,1,17.71773185733586
1,3,1,0.4489588260942081
1,4,1,-16.36511511009717
1,5,1,-15.290005076086285
1,6,1,-15.353896402216511
1,7,1,-17.217915414909672
1,8,1,-19.10294285002161
1,9,1,-18.7472110029497
1,0,2,0.0
1,1,2,0.0
1,2,2,1.5839117428371443
1,3,2,0.0
1,4,2,0.0
1,5,2,0.0
1,6,2,0.0
1,7,2,0.0
1,8,2,-18.3618225356456
1,9,2,0.0
1,0,3,-16.34856122725366
1,1,3,-16.194310856764424
1,2,3,-13.98224718054141
1,3,3,-13.857581663014123
1,4,3,-12.851320152755024
1,5,3,-12.740754066511366
1,6,3,-11.714185338928829
1,7,3,-11.468472911633413
1,8,3,-9.37615252286684
1,9,3,-8.881326635323923
1,0,4,-18.83214625095184
1,1,4,0.0
1,2,4,-12.86181194760115
1,3,4,0.0
1,4,4,0.0
1,5,4,0.0
1,6,4,0.0
1,7,4,-10.25881723684961
1,8,4,-9.244563574027314
1,9,4,-8.76180553501406
1,0,5,-13.11918296267334
1,1,5,-12.450889357609752
1,2,5,-12.638167605163472
1,3,5,-11.910530643054596
1,4,5,-11.983685114831523
1,5,5,-9.03828737457113
1,6,5,-9.102119930122113
1,7,5,-9.683057712038504
1,8,5,0.0
1,9,5,0.0
1,0,6,-8.329534671549375
1,1,6,0.0
1,2,6,0.0
1,3,6,0.0
1,4,6,-13.3771403856341
1,5,6,0.0
1,6,6,0.0
1,7,6,0.0
1,8,6,0.0
1,9,6,0.0
1,0,7,-3.9793508603961407
1,1,7,-3.9793508603961407
1,2,7,-6.411610717271062
1,3,7,-9.089553387971728
1,4,7,-12.283678132164884
1,5,7,-12.25184796754902
1,6,7,-12.35629868859893
1,7,7,-11.502571651089792
1,8,7,-11.408765905569922
1,9,7,-7.081761872657944
1,0,8,0.0
1,1,8,0.0
1,2,8,-10.690913797326504
1,3,8,0.0
1,4,8,0.0
1,5,8,0.0
1,6,8,-12.5818404517042
1,7,8,0.0
1,8,8,0.0
1,9,8,-6.580080080058159
1,0,9,-3.9793508603961407
1,1,9,-3.9793508603961407
1,2,9,-9.563902618834456
1,3,9,-9.493906316029742
1,4,9,-3.9793508603961407
1,5,9,-3.9793508603961407
1,6,9,-3.9793508603961407
1,7,9,-3.9793508603961407
1,8,9,-3.9793508603961407
1,9,9,-6.341293778809363
2,0,0,31.10808343312593
2,1,0,31.74966735529821
2,2,0,30.04787227057373
2,3,0,27.802580885238687
2,4,0,28.82156530647953
2,5,0,24.260713722910573
2,6,0,24.407675566144363
2,7,0,24.0932552210628
2,8,0,28.3475156156369
2,9,0,25.37237989389209
2,0,1,29.529911528439168
2,1,1,29.996594157102408
2,2,1,29.577888725817616
2,3,1,29.009243912342928
2,4,1,28.621355749669128
2,5,1,25.242214002507577
2,6,1,24.825059664338628
2,7,1,24.423823426832644
2,8,1,20.625419533402912
2,9,1,24.523890525896544
2,0,2,0.0
2,1,2,0.0
2,2,2,29.158196081524128
2,3,2,0.0
2,4,2,0.0
2,5,2,0.0
2,6,2,0.0
2,7,2,0.0
2,8,2,-5.291165270695149
2,9,2,0.0
2,0,3,22.088213880841785
2,1,3,24.73175844351309
2,2,3,25.09557960268521
2,3,3,-4.094212182513963
2,4,3,-4.094212264880931
2,5,3,-4.094212347246649
2,6,3,-4.094212429611113
2,7,3,-4.094212511974323
2,8,3,-4.094157872592423
2,9,3,-4.094151875499119
2,0,4,-5.210314742396774
2,1,4,0.0
2,2,4,-4.2414938355314415
2,3,4,0.0
2,4,4,0.0
2,5,4,0.0
2,6,4,0.0
2,7,4,-4.094650285925186
2,8,4,-4.094151875499119
2,9,4,-4.094151209146411
2,0,5,-4.013406107164369
2,1,5,-4.124701751225356
2,2,5,-4.243285056116238
2,3,5,-4.245322795695659
2,4,5,-4.247162361737075
2,5,5,-4.09962916521553
2,6,5,-4.09962916521553
2,7,5,-4.099075948928308
2,8,5,0.0
2,9,5,0.0
2,0,6,-3.9995942457774674
2,1,6,0.0
2,2,6,0.0
2,3,6,0.0
2,4,6,-5.442330276992418
2,5,6,0.0
2,6,6,0.0
2,7,6,0.0
2,8,6,0.0
2,9,6,0.0
2,0,7,-3.9995942457774674
2,1,7,-3.9995942457774674
2,2,7,-4.147127442299012
2,3,7,-4.145287876257596
2,4,7,-4.286310530284715
2,5,7,-4.198928048073131
2,6,7,-4.131118930181883
2,7,7,-3.9995942457774674
2,8,7,-3.9995942457774674
2,9,7,-3.9995942457774674
2,0,8,0.0
2,1,8,0.0
2,2,8,-5.342295357554354
2,3,8,0.0
2,4,8,0.0
2,5,8,0.0
2,6,8,-5.196601727074225
2,7,8,0.0
2,8,8,0.0
2,9,8,-3.9995942457774674
2,0,9,-3.9995942457774674
2,1,9,-3.9995942457774674
2,2,9,-4.147127442299012
2,3,9,-3.9995942457774674
2,4,9,-3.9995942457774674
2,5,9,-3.9995942457774674
2,6,9,-3.9995942457774674
2,7,9,-3.9995942457774674
2,8,9,-3.9995942457774674
2,9,9,-3.9995942457774674
3,0,0,65.89054681038759
3,1,0,67.02036070396635
3,2,0,64.82895620780306
3,3,0,62.80576356510008
3,4,0,64.2924471003196
3,5,0,62.18236541714589
3,6,0,61.16475014994744
3,7,0,68.81376025058744
3,8,0,70.70449014968489
3,9,0,69.64617115515985
3,0,1,63.92174516155306
3,1,1,64.7391423142243
3,2,1,63.95716806126337
3,3,1,63.07530735304064
3,4,1,62.463484921380655
3,5,1,61.69382737142623
3,6,1,60.90546696031834
3,7,1,61.052936663993705
3,8,1,67.8354412560624
3,9,1,68.62872025509049
3,0,2,0.0
3,1,2,0.0
3,2,2,63.108580214644284
3,3,2,0.0
3,4,2,0.0
3,5,2,0.0
3,6,2,0.0
3,7,2,0.0
3,8,2,65.7414843700117
3,9,2,0.0
3,0,3,55.2472437579842
3,1,3,61.24187214137528
3,2,3,62.0668904416147
3,3,3,61.24187214137528
3,4,3,60.42714085236077
3,5,3,59.62256830759832
3,6,3,58.828027839453874
3,7,3,27.52826457995032
3,8,3,-0.5814916695310406
3,9,3,-4.000265938419675
3,0,4,53.31025097749079
3,1,4,0.0
3,2,4,61.24187214137528
3,3,4,0.0
3,4,4,0.0
3,5,4,0.0
3,6,4,0.0
3,7,4,23.754802732934674
3,8,4,-3.624625266455876
3,9,4,-4.000265938419675
3,0,5,-3.999998853915382
3,1,5,-3.999998853915382
3,2,5,3.1685189994533745
3,3,5,3.0789980254107183
3,4,5,12.069728987135155
3,5,5,22.68659931500987
3,6,5,23.024145245208697
3,7,5,23.36595311897064
3,8,5,0.0
3,9,5,0.0
3,0,6,-3.999998853915382
3,1,6,0.0
3,2,6,0.0
3,3,6,0.0
3,4,6,10.67198859156299
3,5,6,0.0
3,6,6,0.0
3,7,6,0.0
3,8,6,0.0
3,9,6,0.0
3,0,7,-3.999998853915382
3,1,7,-3.999998853915382
3,2,7,-3.999998853915382
3,3,7,-3.999998853915382
3,4,7,-3.999998853915382
3,5,7,-3.999998853915382
3,6,7,-3.999998853915382
3,7,7,-3.999998853915382
3,8,7,-3.999998853915382
3,9,7,-3.999998853915382
3,0,8,0.0
3,1,8,0.0
3,2,8,-5.197006335212141
3,3,8,0.0
3,4,8,0.0
3,5,8,0.0
3,6,8,-5.197006335212141
3,7,8,0.0
3,8,8,0.0
3,9,8,-3.999998853915382
3,0,9,-3.999998853915382
3,1,9,-3.999998853915382
3,2,9,-3.999998853915382
3,3,9,-3.999998853915382
3,4,9,-3.999998853915382
3,5,9,-3.999998853915382
3,6,9,-3.999998853915382
3,7,9,-3.999998853915382
3,8,9,-3.999998853915382
3,9,9,-3.999998853915382
4,0,0,65.9888539578791
4,1,0,67.11866785145786
4,2,0,64.92726335529457
4,3,0,62.904070712591576
4,4,0,64.46385471890906
4,5,0,62.43425739280283
4,6,0,72.85274593603464
4,7,0,75.05635073502701
4,8,0,76.31636050203186
4,9,0,75.18964775807709
4,0,1,64.02005230904457
4,1,1,64.83744946171582
4,2,1,64.05547520875487
4,3,1,63.17361450053215
