Iteration,x,y,Utility
1,0,0,5.807484073166842
1,1,0,0.0
1,2,0,45.38346346925289
1,3,0,44.77701023089526
1,4,0,35.06469647990572
1,5,0,29.29992563679977
1,0,1,-3.716931950679154
1,1,1,-4.844463011703034
1,2,1,39.86456463957993
1,3,1,44.850368061564176
1,4,1,0.0
1,5,1,27.68717268255589
1,0,2,-4.202527229945292
1,1,2,-4.263061572911711
1,2,2,10.887616661002
1,3,2,9.429264220783343
1,4,2,5.834140377515022
1,5,2,6.63221389422107
1,0,3,-4.198770158576295
1,1,3,-4.202527229945292
1,2,3,4.77971129941035
1,3,3,4.127390797183657
1,4,3,-10.06013765320158
1,5,3,-6.962032131620295
1,0,4,-4.1950547861124745
1,1,4,0.0
1,2,4,0.0
1,3,4,0.0
1,4,4,-12.29736492001139
1,5,4,-6.575361290323103
1,0,5,-4.168058685255567
1,1,5,-4.164726248865157
1,2,5,-4.586854292328275
1,3,5,-5.07521285398728
1,4,5,-5.676230876252787
1,5,5,-6.448048978409072
2,0,0,99.90063827724468
2,1,0,0.0
2,2,0,88.54530450319352
2,3,0,87.39286244598503
2,4,0,86.25273299989492
2,5,0,86.13701125816132
2,0,1,96.98197263072409
2,1,1,83.84227895787487
2,2,1,86.27566861645386
2,3,1,87.40952614755234
2,4,1,0.0
2,5,1,83.81553332314132
2,0,2,94.31838035227044
2,1,2,82.94968674866902
2,2,2,84.05852477859248
2,3,2,86.0265801772448
2,4,2,86.02925966269805
2,5,2,83.08362253854672
2,0,3,5.446406716579892
2,1,3,81.97378483331917
2,2,3,82.93789941667525
2,3,3,83.7232149983418
2,4,3,84.64410754563129
2,5,3,83.44233130548508
2,0,4,-4.00017689101507
2,1,4,0.0
2,2,4,0.0
2,3,4,0.0
2,4,4,3.573224322229083
2,5,4,41.729659297094905
2,0,5,-4.00017689101507
2,1,5,-4.00017689101507
2,2,5,-4.00017689101507
2,3,5,-4.00017689101507
2,4,5,0.1114785266315519
2,5,5,4.638707119121425
3,0,0,99.96506350350032
3,1,0,0.0
3,2,0,88.71871214768429
3,3,0,87.58918619791012
3,4,0,86.44594306123093
3,5,0,87.68034440508981
3,0,1,98.34543675973768
3,1,1,95.7298821132418
3,2,1,88.3951784038301
3,3,1,87.81440182377742
3,4,1,0.0
3,5,1,85.33895476107024
3,0,2,96.79536491013414
3,1,2,94.5797361701342
3,2,2,86.95494332190414
3,3,2,86.70147654058981
3,4,2,86.71617695381268
3,5,2,85.57354023551441
3,0,3,94.45335470631052
3,1,3,85.6661827386166
3,2,3,85.6851833297442
3,3,3,84.61411749862592
3,4,3,85.50178429193005
3,5,3,85.7246923068361
3,0,4,93.22524739265768
3,1,4,0.0
3,2,4,0.0
3,3,4,0.0
3,4,4,83.3278806949718
3,5,4,84.46442165861362
3,0,5,90.6004120449983
3,1,5,79.16189417090902
3,2,5,76.13146550419711
3,3,5,81.20474335696036
3,4,5,82.28178890776316
3,5,5,83.24167189673618
4,0,0,99.99613288606454
4,1,0,0.0
4,2,0,95.02526468056892
4,3,0,93.85353160643696
4,4,0,87.31866415204162
4,5,0,88.47293718200834
4,0,1,98.38914016239929
4,1,1,95.87592638463892
4,2,1,94.5231570908896
4,3,1,94.36425435683498
4,4,1,0.0
4,5,1,86.12165667074487
4,0,2,96.94140918153124
4,1,2,95.55605392434444
4,2,2,93.15112012702502
4,3,2,93.03489066242103
4,4,2,92.08576274929356
4,5,2,90.33867247869576
4,0,3,95.52090700283468
4,1,3,94.2098973683092
4,2,3,92.05022005563228
4,3,3,90.78579765325053
4,4,3,90.80051633038914
4,5,3,90.11052891192226
4,0,4,94.27994968149982
4,1,4,0.0
4,2,4,0.0
4,3,4,0.0
4,4,4,88.47230547931368
4,5,4,88.88576711395756
4,0,5,92.90530599210324
4,1,5,91.6969621497024
4,2,5,84.4427189626324
4,3,5,85.55968836256532
4,4,5,86.6907609012364
4,5,5,87.61342157714193
5,0,0,99.99781931437992
5,1,0,0.0
5,2,0,95.04320793632183
5,3,0,93.8727480277402
5,4,0,92.65235280677052
5,5,0,93.31817030637556
5,0,1,98.39118082504751
5,1,1,95.88083669934474
5,2,1,94.54281005958708
5,3,1,94.39549415178156
5,4,1,0.0
5,5,1,89.21730784903433
5,0,2,96.94631949623708
5,1,2,95.58424706594108
5,2,2,93.29224608068724
5,3,2,93.17383754861274
5,4,2,93.09795174451963
5,5,2,91.60644581304636
5,0,3,95.55165841587784
5,1,3,94.45031311658958
5,2,3,93.23036463176734
5,3,3,91.11106081969024
5,4,3,91.79392744001694
5,5,3,91.72099473390536
5,0,4,94.31033872633296
5,1,4,0.0
5,2,4,0.0
5,3,4,0.0
5,4,4,89.51382527859107
5,5,4,90.41606234302712
5,0,5,92.93529363137446
5,1,5,91.72659694413012
5,2,5,90.5329712878988
5,3,5,87.15697601131599
5,4,5,88.30797927485385
5,5,5,89.1365001857879
6,0,0,99.9980079060748
6,1,0,0.0
6,2,0,95.0434380220141
6,3,0,93.8729789240264
6,4,0,92.65258889267515
6,5,0,93.32359514171904
6,0,1,98.3913694167424
6,1,1,95.8810252910396
6,2,1,94.54300326180224
6,3,1,94.3956947798524
6,4,1,0.0
6,5,1,90.912603314228
6,0,2,96.94650808793192
6,1,2,95.5844356576359
6,2,2,93.292435185356
6,3,2,93.17406099998
6,4,2,93.09840841144816
6,5,2,91.77660467131754
6,0,3,95.55184700757266
6,1,3,94.4505017082844
6,2,3,93.23055328670551
6,3,3,91.11149256632724
6,4,3,91.79633323617536
6,5,3,91.7415022798922
6,0,4,94.3105273180278
6,1,4,0.0
6,2,4,0.0
6,3,4,0.0
6,4,4,89.51787899209003
6,5,4,90.43434669994927
6,0,5,92.93548222306929
6,1,5,91.72678553582494
6,2,5,90.53315987959364
6,3,5,89.35441630858203
6,4,5,88.53253640893085
6,5,5,89.17693973238342
7,0,0,99.99818018784077
7,1,0,0.0
7,2,0,95.04362670381983
7,3,0,93.87317002551582
7,4,0,92.6527818646818
7,5,0,93.3256386010355
7,0,1,98.39154169850838
7,1,1,95.88119757280559
7,2,1,94.54317736582496
7,3,1,94.39589138179417
7,4,1,0.0
7,5,1,90.91491165253595
7,0,2,96.94668036969792
7,1,2,95.5846079394019
7,2,2,93.29260766986926
7,3,2,93.1744436465531
7,4,2,93.1005197157016
7,5,2,91.7928346858424
7,0,3,95.55201928933867
7,1,3,94.4506739900504
7,2,3,93.23072559346774
7,3,3,91.11341263085568
7,4,3,91.8124983007493
7,5,3,91.88599320096823
7,0,4,94.31069959979378
7,1,4,0.0
7,2,4,0.0
7,3,4,0.0
7,4,4,89.546385078333
7,5,4,90.56451788893654
7,0,5,92.93565450483527
7,1,5,91.72695781759091
7,2,5,90.53333216135962
7,3,5,89.35458961804841
7,4,5,88.56684133489753
7,5,5,89.29515310166988
