Iteration,x,y,Utility
1,0,0,1.0
1,1,0,-0.04
1,2,0,-0.04
1,3,0,-1.0
1,4,0,-1.0
1,5,0,-0.04
1,6,0,1.0
1,7,0,-0.04
1,8,0,-0.04
1,9,0,1.0
1,0,1,-1.0
1,1,1,1.0
1,2,1,-0.04
1,3,1,0.0
1,4,1,-0.04
1,5,1,-0.04
1,6,1,1.0
1,7,1,1.0
1,8,1,1.0
1,9,1,-0.04
1,0,2,0.0
1,1,2,-0.04
1,2,2,0.0
1,3,2,-0.04
1,4,2,-0.04
1,5,2,0.0
1,6,2,-0.04
1,7,2,-0.04
1,8,2,-0.04
1,9,2,-1.0
1,0,3,1.0
1,1,3,0.0
1,2,3,0.0
1,3,3,-0.04
1,4,3,-0.04
1,5,3,-0.04
1,6,3,1.0
1,7,3,-0.04
1,8,3,-0.04
1,9,3,-0.04
1,0,4,-0.04
1,1,4,-0.04
1,2,4,0.0
1,3,4,-0.04
1,4,4,-0.04
1,5,4,-0.04
1,6,4,-1.0
1,7,4,-1.0
1,8,4,-1.0
1,9,4,0.0
1,0,5,-0.04
1,1,5,1.0
1,2,5,-0.04
1,3,5,-1.0
1,4,5,0.0
1,5,5,-1.0
1,6,5,-0.04
1,7,5,0.0
1,8,5,-0.04
1,9,5,1.0
1,0,6,-1.0
1,1,6,-1.0
1,2,6,-1.0
1,3,6,-0.04
1,4,6,-1.0
1,5,6,0.0
1,6,6,0.0
1,7,6,-0.04
1,8,6,0.0
1,9,6,-0.04
1,0,7,1.0
1,1,7,0.0
1,2,7,-1.0
1,3,7,-0.04
1,4,7,0.0
1,5,7,-1.0
1,6,7,-0.04
1,7,7,1.0
1,8,7,-0.04
1,9,7,-0.04
1,0,8,-0.04
1,1,8,-0.04
1,2,8,-0.04
1,3,8,-0.04
1,4,8,1.0
1,5,8,-0.04
1,6,8,-0.04
1,7,8,1.0
1,8,8,-0.04
1,9,8,-0.04
1,0,9,-0.04
1,1,9,-0.04
1,2,9,-0.04
1,3,9,1.0
1,4,9,-1.0
1,5,9,0.0
1,6,9,-0.04
1,7,9,-0.04
1,8,9,-0.04
1,9,9,-0.04
2,0,0,1.88704
2,1,0,0.84704
2,2,0,-0.0796
2,3,0,-1.22968
2,4,0,-1.13464
2,5,0,0.74408
2,6,0,1.7840799999999999
2,7,0,0.84704
2,8,0,0.84704
2,9,0,1.88704
2,0,1,-0.20799999999999996
2,1,1,0.9604
2,2,1,0.74408
2,3,1,0.0
2,4,1,-0.0796
2,5,1,0.74408
2,6,1,1.88704
2,7,1,1.7840799999999999
2,8,1,1.7840799999999999
2,9,1,0.84704
2,0,2,0.0
2,1,2,0.74408
2,2,2,0.0
2,3,2,-0.0796
2,4,2,-0.0796
2,5,2,0.0
2,6,2,0.74408
2,7,2,0.74408
2,8,2,0.6490400000000001
2,9,2,-1.0396
2,0,3,1.99
2,1,3,0.0
2,2,3,0.0
2,3,3,-0.0796
2,4,3,-0.0796
2,5,3,0.74408
2,6,3,0.9604
2,7,3,0.6490400000000001
2,8,3,-0.0796
2,9,3,-0.0796
2,0,4,0.74408
2,1,4,0.74408
2,2,4,0.0
2,3,4,-0.0796
2,4,4,-0.0796
2,5,4,-0.17464000000000002
2,6,4,-0.3109599999999999
2,7,4,-1.22968
2,8,4,-1.22968
2,9,4,0.0
2,0,5,0.6490400000000001
2,1,5,0.9604
2,2,5,0.6490400000000001
2,3,5,-1.0396
2,4,5,0.0
2,5,5,-1.13464
2,6,5,-0.17464000000000002
2,7,5,0.0
2,8,5,0.6490400000000001
2,9,5,1.88704
2,0,6,-0.4059999999999999
2,1,6,-0.4059999999999999
2,2,6,-1.13464
2,3,6,-0.26968000000000003
2,4,6,-1.22968
2,5,6,0.0
2,6,6,0.0
2,7,6,0.74408
2,8,6,0.0
2,9,6,0.74408
2,0,7,1.68904
2,1,7,0.0
2,2,7,-1.13464
2,3,7,-0.0796
2,4,7,0.0
2,5,7,-1.13464
2,6,7,0.74408
2,7,7,1.7840799999999999
2,8,7,0.74408
2,9,7,-0.0796
2,0,8,0.74408
2,1,8,-0.0796
2,2,8,-0.0796
2,3,8,0.84704
2,4,8,1.7840799999999999
2,5,8,0.6490400000000001
2,6,8,0.74408
2,7,8,1.7840799999999999
2,8,8,0.74408
2,9,8,-0.0796
2,0,9,-0.0796
2,1,9,-0.0796
2,2,9,0.74408
2,3,9,1.68904
2,4,9,-0.20799999999999996
2,5,9,0.0
2,6,9,-0.0796
2,7,9,0.74408
2,8,9,-0.0796
2,9,9,-0.0796
3,0,0,2.7652096000000004
3,1,0,1.6334722400000001
3,2,0,0.6966392
3,3,0,-1.30651984
3,4,0,-0.5308984000000001
3,5,0,1.5203192
3,6,0,2.65205656
3,7,0,1.6334722400000001
3,8,0,1.7150165600000002
3,9,0,2.7652096000000004
3,0,1,0.5690232800000004
3,1,1,1.74683224
3,2,1,0.7864203200000002
3,3,1,0.0
3,4,1,0.42910159999999997
3,5,1,1.60186352
3,6,1,2.6632792000000003
3,7,1,2.65205656
3,8,1,2.56110328
3,9,1,1.7150165599999998
3,0,2,0.0
3,1,2,0.8679646400000002
3,2,2,0.0
3,3,2,-0.11880399999999999
3,4,2,-0.11880399999999999
3,5,2,0.0
